ID,Title,Author,Year,Format,File

1,Gold Oil and Avocados A Recent History Of Latin America In Sixteen Commodities,Andy Robinson,2020,PDF,ebook/Gold Oil and Avocados A Recent History of Latin America In Sixteen Commodities Andy Robinson z-liborg.pdf
2,Ubur Ubur Lembur,Raditya Dika,2018,PDF,ebook/Ubur- ubur lembur Raditya Dika.pdf
3,Yang Fana Adalah Waktu,Sapardi Djoko Damono,2018,PDF,ebook/Yang fana adalah waktu.pdf
4,Ayat Ayat Api,Sapardi Djoko Damono,2017,PDF,ebook/Ayat-Ayat api.pdf
5,Bulan,Tere Liye,2015,PDF,ebook/Tere Liye - Bulan.pdf
6,Tentang Kamu,Tere Liye,2016,PDF,ebook/Tere Liye - tentang kamu.pdf
7,Matahari,Tere Liye,2016,PDF,ebook/Tere_Liye_-_Matahari.pdf.pdf
8,Just a Friend to You,Ega Dyp,2020,PDF,ebook/Ega Dyp - Just a Friend to You.pdf
9,Negeri Para Bedebah,Tere Liye,2012,PDF,ebook/Negeri_Para_Bedebah.pdf
10,William,Risa Saraswati,2017,PDF,ebook/Kumpul PDF - Risa Saraswati - William.pdf
11,Rangkuman Materi Dr. Tengku,Muhammad Salman Tyastomo,2025,PDF,ebook/Rangkuman Materi Dr. Tengku.pdf
